Date,Group,N sex-active females,N males in group,Mating season,Conception period,Female Group Size
1/1/06,Gn,ND,ND,NO,NO,12
1/2/06,Gn,0,1,NO,NO,12
1/3/06,Gn,2,1,NO,NO,12
1/4/06,Gn,0,1,NO,NO,12
1/5/06,Gn,1,1,NO,NO,12
1/6/06,Gn,0,1,NO,NO,12
1/7/06,Gn,0,1,NO,NO,12
1/8/06,Gn,1,1,NO,NO,12
1/9/06,Gn,ND,ND,NO,NO,12
1/10/06,Gn,ND,ND,NO,NO,12
1/11/06,Gn,0,1,NO,NO,12
1/12/06,Gn,0,1,NO,NO,12
1/13/06,Gn,0,1,NO,NO,12
1/14/06,Gn,0,1,NO,NO,12
1/15/06,Gn,0,1,NO,NO,12
1/16/06,Gn,1,1,NO,NO,12
1/17/06,Gn,0,1,NO,NO,12
1/18/06,Gn,0,1,NO,NO,12
1/19/06,Gn,2,1,NO,NO,12
1/20/06,Gn,1,1,NO,NO,12
1/21/06,Gn,ND,ND,NO,NO,12
1/22/06,Gn,2,1,NO,NO,12
1/23/06,Gn,0,1,NO,NO,12
1/24/06,Gn,0,1,NO,NO,12
1/25/06,Gn,1,1,NO,NO,12
1/26/06,Gn,1,1,NO,NO,12
1/27/06,Gn,1,1,NO,NO,12
1/28/06,Gn,1,1,NO,NO,12
1/29/06,Gn,1,1,NO,NO,12
1/30/06,Gn,0,1,NO,NO,12
1/31/06,Gn,0,1,NO,NO,12
2/1/06,Gn,0,1,NO,NO,12
2/2/06,Gn,0,1,NO,NO,12
2/3/06,Gn,0,1,NO,NO,12
2/4/06,Gn,0,1,NO,NO,12
2/5/06,Gn,ND,ND,NO,NO,12
2/6/06,Gn,ND,ND,NO,NO,12
2/7/06,Gn,0,1,NO,NO,12
2/8/06,Gn,ND,ND,NO,NO,12
2/9/06,Gn,ND,ND,NO,NO,12
2/10/06,Gn,2,1,NO,NO,12
2/11/06,Gn,ND,ND,NO,NO,12
2/12/06,Gn,ND,ND,NO,NO,12
2/13/06,Gn,3,1,NO,NO,12
2/14/06,Gn,0,1,NO,NO,12
2/15/06,Gn,ND,ND,NO,NO,12
2/16/06,Gn,0,1,NO,NO,12
2/17/06,Gn,0,1,NO,NO,12
2/18/06,Gn,0,1,NO,NO,12
2/19/06,Gn,ND,ND,NO,NO,12
2/20/06,Gn,0,1,NO,NO,12
2/21/06,Gn,0,1,NO,NO,12
2/22/06,Gn,1,1,NO,NO,12
2/23/06,Gn,0,1,NO,NO,12
2/24/06,Gn,ND,ND,NO,NO,12
2/25/06,Gn,1,1,NO,NO,12
2/26/06,Gn,0,1,NO,NO,12
2/27/06,Gn,0,1,NO,NO,12
2/28/06,Gn,0,1,NO,NO,12
3/1/06,Gn,0,1,NO,NO,12
3/2/06,Gn,0,1,NO,NO,12
3/3/06,Gn,0,1,NO,NO,12
3/4/06,Gn,0,1,NO,NO,12
3/5/06,Gn,ND,ND,NO,NO,12
3/6/06,Gn,0,1,NO,NO,12
3/7/06,Gn,0,1,NO,NO,12
3/8/06,Gn,0,1,NO,NO,12
3/9/06,Gn,0,1,NO,NO,12
3/10/06,Gn,0,1,NO,NO,12
3/11/06,Gn,0,1,NO,NO,12
3/12/06,Gn,0,1,NO,NO,12
3/13/06,Gn,0,1,NO,NO,12
3/14/06,Gn,0,1,NO,NO,12
3/15/06,Gn,1,1,NO,NO,12
3/16/06,Gn,1,1,NO,NO,12
3/17/06,Gn,1,1,NO,NO,12
3/18/06,Gn,1,1,NO,NO,12
3/19/06,Gn,1,1,NO,NO,12
3/20/06,Gn,1,1,NO,NO,12
